INFO     | 2026-04-22 15:26:07,619 | progress   |       Finished subset 1/39, 2.56 percent done
INFO     | 2026-04-22 15:26:08,924 | progress   |       Finished subset 2/39, 5.13 percent done
INFO     | 2026-04-22 15:26:09,500 | progress   |       Finished subset 3/39, 7.69 percent done
INFO     | 2026-04-22 15:26:09,723 | progress   |       Finished subset 4/39, 10.26 percent done
INFO     | 2026-04-22 15:26:10,434 | progress   |       Finished subset 5/39, 12.82 percent done
INFO     | 2026-04-22 15:26:12,045 | progress   |       Finished subset 6/39, 15.38 percent done
INFO     | 2026-04-22 15:26:12,438 | progress   |       Finished subset 7/39, 17.95 percent done
INFO     | 2026-04-22 15:26:12,733 | progress   |       Finished subset 8/39, 20.51 percent done
INFO     | 2026-04-22 15:26:18,167 | progress   |       Finished subset 9/39, 23.08 percent done
INFO     | 2026-04-22 15:26:18,921 | progress   |       Finished subset 10/39, 25.64 percent done
INFO     | 2026-04-22 15:26:19,046 | progress   |       Finished subset 11/39, 28.21 percent done
INFO     | 2026-04-22 15:26:19,397 | progress   |       Finished subset 12/39, 30.77 percent done
INFO     | 2026-04-22 15:26:21,858 | progress   |       Finished subset 13/39, 33.33 percent done
INFO     | 2026-04-22 15:26:22,864 | progress   |       Finished subset 14/39, 35.90 percent done
INFO     | 2026-04-22 15:26:23,032 | progress   |       Finished subset 15/39, 38.46 percent done
INFO     | 2026-04-22 15:26:24,049 | progress   |       Finished subset 16/39, 41.03 percent done
INFO     | 2026-04-22 15:26:24,687 | progress   |       Finished subset 17/39, 43.59 percent done
INFO     | 2026-04-22 15:26:25,352 | progress   |       Finished subset 18/39, 46.15 percent done
INFO     | 2026-04-22 15:26:26,062 | progress   |       Finished subset 19/39, 48.72 percent done
INFO     | 2026-04-22 15:26:27,440 | progress   |       Finished subset 20/39, 51.28 percent done
INFO     | 2026-04-22 15:26:27,561 | progress   |       Finished subset 21/39, 53.85 percent done
INFO     | 2026-04-22 15:26:28,436 | progress   |       Finished subset 22/39, 56.41 percent done
INFO     | 2026-04-22 15:26:29,055 | progress   |       Finished subset 23/39, 58.97 percent done
INFO     | 2026-04-22 15:26:30,338 | progress   |       Finished subset 24/39, 61.54 percent done
INFO     | 2026-04-22 15:26:31,302 | progress   |       Finished subset 25/39, 64.10 percent done
INFO     | 2026-04-22 15:26:31,957 | progress   |       Finished subset 26/39, 66.67 percent done
INFO     | 2026-04-22 15:26:32,671 | progress   |       Finished subset 27/39, 69.23 percent done
INFO     | 2026-04-22 15:26:33,155 | progress   |       Finished subset 28/39, 71.79 percent done
INFO     | 2026-04-22 15:26:34,135 | progress   |       Finished subset 29/39, 74.36 percent done
INFO     | 2026-04-22 15:26:35,490 | progress   |       Finished subset 30/39, 76.92 percent done
INFO     | 2026-04-22 15:26:35,506 | progress   |       Finished subset 31/39, 79.49 percent done
INFO     | 2026-04-22 15:26:36,463 | progress   |       Finished subset 32/39, 82.05 percent done
INFO     | 2026-04-22 15:26:36,628 | progress   |       Finished subset 33/39, 84.62 percent done
INFO     | 2026-04-22 15:26:37,154 | progress   |       Finished subset 34/39, 87.18 percent done
INFO     | 2026-04-22 15:26:38,594 | progress   |       Finished subset 35/39, 89.74 percent done
INFO     | 2026-04-22 15:26:38,615 | progress   |       Finished subset 36/39, 92.31 percent done
INFO     | 2026-04-22 15:26:39,256 | progress   |       Finished subset 37/39, 94.87 percent done
INFO     | 2026-04-22 15:26:39,778 | progress   |       Finished subset 38/39, 97.44 percent done
INFO     | 2026-04-22 15:27:06,834 | progress   |       Finished subset 39/39, 100.00 percent done
INFO     | 2026-04-22 15:27:06,839 | analysis_m |    ***Greedy algorithm step 1***
INFO     | 2026-04-22 15:27:06,854 | analysis_m |       Analysing 741 new subset pairs
INFO     | 2026-04-22 15:27:08,328 | progress   |       Finished subset 1/741, 0.13 percent done
INFO     | 2026-04-22 15:27:10,174 | progress   |       Finished subset 2/741, 0.27 percent done
INFO     | 2026-04-22 15:27:12,012 | progress   |       Finished subset 3/741, 0.40 percent done
INFO     | 2026-04-22 15:27:12,075 | progress   |       Finished subset 4/741, 0.54 percent done
INFO     | 2026-04-22 15:27:15,615 | progress   |       Finished subset 5/741, 0.67 percent done
INFO     | 2026-04-22 15:27:16,427 | progress   |       Finished subset 6/741, 0.81 percent done
INFO     | 2026-04-22 15:27:17,201 | progress   |       Finished subset 7/741, 0.94 percent done
INFO     | 2026-04-22 15:27:17,253 | progress   |       Finished subset 8/741, 1.08 percent done
INFO     | 2026-04-22 15:27:18,930 | progress   |       Finished subset 9/741, 1.21 percent done
INFO     | 2026-04-22 15:27:20,532 | progress   |       Finished subset 10/741, 1.35 percent done
